<<<<<<< HEAD
coin,calmar_ratio
BNB,8.091262882317071
MKR,3.8148874564091915
DOGE,3.2880905904225264
LINK,2.784790422892278
ETH,2.1182179473499003
THETA,1.936081915641302
XLM,1.8810450321651468
ADA,1.867100750882217
XMR,1.8470824491099087
XRP,1.7652272407500202
BTC,1.5810675308382023
TRX,1.508212005600812
LTC,1.1323538461986007
ETC,0.9259966652349315
VET,0.8971709879425332
FIL,0.6834353595789442
EOS,0.43408625603662954
BCH,0.06435420883036938
=======
coin,calmar_ratio
BNB,8.091262882317071
MKR,3.8148874564091915
DOGE,3.2880905904225264
LINK,2.784790422892278
ETH,2.1182179473499003
THETA,1.936081915641302
XLM,1.8810450321651468
ADA,1.867100750882217
XMR,1.8470824491099087
XRP,1.7652272407500202
BTC,1.5810675308382023
TRX,1.508212005600812
LTC,1.1323538461986007
ETC,0.9259966652349315
VET,0.8971709879425332
FIL,0.6834353595789442
EOS,0.43408625603662954
BCH,0.06435420883036938
>>>>>>> 47a8861eb13e3ff0722672d784f018c22daa9b11
